BHK,Size,Bathroom,Current_Floor,Total_Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2,-0.027582005376657167,2,0.4438057783810484,0.10872296692441161,False,True,False,False,False,False,False,True,False,True,False
2,-0.2641245073058268,2,-0.07601214466842245,-0.3138808013174045,False,True,False,False,False,False,False,True,False,True,False
1,-0.6662467605854152,1,-0.24928478568491275,-0.4195317433778585,False,True,False,True,False,False,False,False,False,True,False
1,-0.7924027616143057,1,-0.07601214466842245,-0.3138808013174045,False,True,False,False,False,False,True,True,False,False,False
2,-0.10642950601971371,2,0.09726049634806784,-0.20822985925695045,False,True,False,False,False,False,False,False,False,True,False
2,0.4455029984816821,2,-0.5958300677178933,-0.10257891719649644,False,True,False,False,True,False,False,True,False,True,False
3,1.2450166550022754,3,0.9636237014305193,0.32002485104531964,False,True,False,False,False,False,False,True,False,True,False
2,-0.18527700666277028,2,-0.07601214466842245,-0.10257891719649644,False,True,False,False,False,False,True,True,False,False,True
3,2.4166905145580957,3,0.09726049634806784,0.10872296692441161,True,False,False,False,False,False,False,False,True,False,False
3,0.9974355029830779,3,-0.422557426701403,-0.3138808013174045,True,False,False,False,False,False,False,True,False,True,False
2,-0.2073543068428261,2,0.4438057783810484,1.693487097831222,True,False,False,False,False,False,True,False,True,True,False
1,-1.4310675168230638,1,-0.07601214466842245,-0.3138808013174045,False,True,False,True,False,False,False,False,True,True,False
2,-0.027582005376657167,1,-0.422557426701403,-0.5251826854383125,False,True,True,False,False,False,False,True,False,False,True
3,1.5651375076130851,3,1.6567142654964804,1.90478898195213,False,True,False,False,True,False,False,False,True,False,False
2,-0.5006670092349964,2,0.790351060414029,0.10872296692441161,True,False,False,False,False,False,False,False,False,False,True
1,-0.9737520130933357,1,-0.422557426701403,-0.6308336274987665,False,True,False,False,False,True,False,False,True,True,False
3,2.1013005119858694,3,1.3101689834635,1.1652323875289519,True,False,True,False,False,False,False,True,False,False,False
1,-0.9737520130933357,1,-0.24928478568491275,-0.3138808013174045,False,True,False,False,True,False,False,False,True,True,False
1,-0.12219900614832503,1,0.09726049634806784,-0.20822985925695045,True,False,False,False,True,False,False,True,False,False,False
1,-0.8160570118072227,1,-0.422557426701403,-0.5251826854383125,False,True,False,False,True,False,False,False,True,True,False
3,0.28780799719556904,3,0.790351060414029,0.5313267351662276,True,False,False,False,False,False,True,True,False,True,False
3,0.28780799719556904,3,0.6170784193975387,3.595204054919394,True,False,False,False,False,False,True,False,True,True,False
1,-0.8002875116786113,1,-0.07601214466842245,-0.3138808013174045,False,True,False,False,False,False,False,True,False,True,False
3,-1.2733725155369506,3,-0.24928478568491275,-0.3138808013174045,True,False,False,True,False,False,False,True,False,True,False
